service_name,rule_type,specialty,facility_level,tariff_amount,payment_method,conditions_count,coverage_conditions_count,exclusions_count
"Health education and wellness, counselling, and on...",policy,N/A,Level 2,900.0,Per Annum,2,1,0
"Consultation, diagnosis, and treatment",policy,N/A,Level 2,900.0,Per Annum,1,1,0
Prescribed laboratory inve sti gations,policy,N/A,Level 2,900.0,Per Annum,1,1,0
"Basic radiological examinations including X-rays, ...",policy,N/A,Level 2,900.0,Per Annum,1,1,0
"Prescription, drug administration and dispensing",policy,N/A,Level 2,900.0,Per Annum,1,1,0
Management of acute and chronic conditions for end...,policy,N/A,Level 2,900.0,Per Annum,2,1,0
"Management ofNCDs, enteric infections; neglectedtr...",policy,N/A,Level 2,900.0,Per Annum,2,1,0
"diseases ( NTDs ), STI ’ sand HIV / AIDS",policy,N/A,Private,,Not specified,1,1,0
Screening for common health conditions,policy,N/A,Private,,Not specified,1,1,0
Minor surgical procedure sand medical procedures i...,policy,N/A,Private,,Not specified,1,1,0
Immunization asper the KEPI schedule and recomme n...,policy,N/A,Private,,Not specified,1,1,0
"Reproductive, Maternal and Child Health Services a...",policy,N/A,Private,,Not specified,2,1,0
"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",policy,N/A,Not specified,,Not specified,1,1,0
"Ante-natal care, delivery by ways of normal delive...",policy,N/A,Level 2,11.0,Not specified,3,1,0
After care for the mother together with the newbor...,policy,N/A,Level 2,11.0,Not specified,3,1,0
"Midwifery, including episio tomy care and nursing ...",policy,N/A,Level 2,11.0,Not specified,3,1,0
"Operating, recovery, maternity wardand other treat...",policy,N/A,Level 2,11.0,Not specified,3,1,0
Immunisation for the newborn.,policy,N/A,Level 2,11.0,Not specified,3,1,0
"Vita minK for newborn, chlorhexidine administratio...",policy,N/A,Level 2,11.0,Not specified,3,1,0
Provision of warmth and newborn resuscitation,policy,N/A,Level 2,11.0,Not specified,3,1,0
Intra- admission and post- discharge medication.,policy,N/A,Not specified,,Not specified,1,1,0
Diagnostic laboratory tests,policy,N/A,Not specified,,Not specified,1,1,0
Administration of blood and blood products; deriva...,policy,N/A,Not specified,,Not specified,1,1,0
"Medical supplies and equipment, including oxygen.",policy,N/A,Not specified,,Not specified,1,1,0
Post natal family plan ning.,policy,N/A,Not specified,,Not specified,1,1,0
Management ofpo stpa rtum infections and haemorrha...,policy,N/A,Not specified,,Not specified,4,1,0
Mana geme ntof neonatal conditions.,policy,N/A,Not specified,,Not specified,1,1,0
Obste tric and neonatal complications including in...,policy,N/A,Not specified,,Not specified,4,1,0
Anti-D Serum for Rhesus-negative mothers.,policy,N/A,Not specified,,Not specified,1,1,0
SCREENING & MANAGEMENT OF PRE- CANCE ROUS LESIONS,policy,N/A,Not specified,,Not specified,1,1,0
"Screening for common cancers ( breast, cervix, pro...",policy,N/A,Level 2,3.0,Not specified,1,1,1
Unnamed Service,policy,N/A,Not specified,3.0,Not specified,1,1,0
OPTICAL HEALTH SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
Services covered include consultation and diagnosi...,policy,N/A,Level 2,935.0,Not specified,1,1,1
Eye health education and counselling.,policy,N/A,Level 2,935.0,Not specified,1,1,1
"Eye tests including fund oscopy, visual acuity tes...",policy,N/A,Level 2,935.0,Not specified,1,1,1
Treatment of refractive errors through eyeglasses.,policy,N/A,Level 2,935.0,Not specified,1,1,1
END OF LIFE SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
Preparation and storage of the body in mortuary,policy,N/A,Not specified,500.0,Not specified,1,1,0
Preservation and storage of the body in mortuary.,policy,N/A,Not specified,500.0,Not specified,1,1,0
MEDICAL INPATIENT SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
Inpatient services shall include management of dis...,policy,N/A,Level 3,2.0,Not specified,1,1,0
Pre- admission evaluation.,policy,N/A,Level 3,2.0,Not specified,1,1,0
"Hospital accommodation charges, meals and nursing ...",policy,N/A,Level 3,2.0,Not specified,1,1,0
Intra- admission consultation and review sbyboth g...,policy,N/A,Not specified,,Not specified,1,1,0
"Bed side services including physio therapy, occupa...",policy,N/A,Not specified,,Not specified,1,1,0
Cross-matching and administration of blood and blo...,policy,N/A,Not specified,,Not specified,1,1,0
Post - discharge medi cati onor follow-up within t...,policy,N/A,Not specified,,Not specified,1,1,0
Unnamed Service,policy,N/A,Not specified,,Not specified,1,1,0
OUTPATIENT CARE SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
"Health education and wellness, counselling, and on...",policy,N/A,Level 4,2.0,Not specified,2,1,0
"Consultation, diagnosis, and treatment.",policy,N/A,Level 4,2.0,Not specified,1,1,0
Prescribed laboratory inve sti gations.,policy,N/A,Level 4,2.0,Not specified,1,1,0
"Basic radiological examinations including X-rays, ...",policy,N/A,Level 4,2.0,Not specified,1,1,0
"Prescription, drug administration and dispensing",policy,N/A,Level 4,2.0,Not specified,1,1,0
Management of acute and chronic conditions for end...,policy,N/A,Not specified,,Not specified,1,1,0
"Management ofNCDs, enteric infections; neglectedtr...",policy,N/A,Not specified,,Not specified,1,1,0
Screening for common health conditions,policy,N/A,Not specified,,Not specified,1,1,0
Minor surgical procedure sand medical procedures,policy,N/A,Not specified,,Not specified,1,1,0
Immunization asper the KEPI schedule and recomme n...,policy,N/A,Not specified,,Not specified,1,1,0
"Reproductive, Maternal and Child Health Services a...",policy,N/A,Not specified,,Not specified,2,1,0
MEDICAL INPATIENT SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
Inpatient services shall include management of dis...,policy,N/A,Level 4,3.0,Not specified,1,1,0
Pre- admission evaluation,policy,N/A,Level 4,3.0,Not specified,1,1,0
"Hospital accommodation charges, meals and nursing ...",policy,N/A,Level 4,3.0,Not specified,1,1,0
Intra- admission consultation and review sbyboth g...,policy,N/A,Level 4,3.0,Not specified,1,1,0
"Bed side services including physio therapy, occupa...",policy,N/A,Not specified,,Not specified,1,1,0
Cross-matching and administration of blood and blo...,policy,N/A,Not specified,,Not specified,1,1,0
Post - discharge medi cati onor follow-up within t...,policy,N/A,Not specified,,Not specified,1,1,0
"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",policy,N/A,Not specified,,Not specified,1,1,0
"Delivery by ways of normal delivery, assisted deli...",policy,N/A,Level 4,11.0,Not specified,1,1,0
After care for the mother together with the newbor...,policy,N/A,Level 4,11.0,Not specified,1,1,0
"Midwifery, including episio tomy care and nursing ...",policy,N/A,Level 4,11.0,Not specified,1,1,0
"Operating, recovery, maternity ward and other trea...",policy,N/A,Level 4,11.0,Not specified,1,1,0
Immunization for the newborn.,policy,N/A,Level 4,11.0,Not specified,2,1,0
Intra- admission and post- discharge medication.,policy,N/A,Level 4,11.0,Not specified,1,1,0
Diagnostic laboratory tests.,policy,N/A,Level 4,11.0,Not specified,1,1,0
Admi nist rati onof blood and blood products; deri...,policy,N/A,Level 4,11.0,Not specified,1,1,0
"components, artificial blood products, and biologi...",policy,N/A,Not specified,,Not specified,1,1,0
"Medical supplies and equipment, including oxygen.",policy,N/A,Not specified,,Not specified,1,1,0
Post natal family plan ning.,policy,N/A,Not specified,,Not specified,1,1,0
Management ofpo stpa rtum infections and haemorrha...,policy,N/A,Not specified,,Not specified,4,1,0
Mana geme ntof neonatal conditions.,policy,N/A,Not specified,,Not specified,1,1,0
Obste tric and neonatal complications including in...,policy,N/A,Not specified,,Not specified,4,1,0
RENAL CARE PACKAGE,policy,N/A,Not specified,,Not specified,1,1,0
The management of kidney failure due tochronicd is...,policy,N/A,Level 4,10.0,Per Session,1,1,0
Consultation and special ist's review.,policy,N/A,Level 4,10.0,Per Session,1,1,0
Cost ofthe temporary catheter and insertion / remo...,policy,N/A,Level 4,10.0,Per Session,1,1,0
Nursing care and dialysis services.,policy,N/A,Level 4,10.0,Per Session,1,1,0
Routine laboratory inve sti gations.,policy,N/A,Level 4,10.0,Per Session,1,1,0
"Dispensati onof medication and mainten ance drug, ...",policy,N/A,Level 4,10.0,Per Session,1,1,0
Continuous intermit tent dialysis and other dialys...,policy,N/A,Not specified,,Not specified,1,1,0
MENTAL WELLLNESS BENEFIT PACKAGE,policy,N/A,Not specified,,Not specified,1,1,0
The mental health services cover caters for;,policy,N/A,Level 3,1.0,Per Session,1,1,1
Mental Health education and counselling.,policy,N/A,Level 3,1.0,Per Session,2,1,1
"Screening, management and referral for behavioral ...",policy,N/A,Level 3,1.0,Per Session,2,1,1
Rehabilitation for substance related addictive dis...,policy,N/A,Level 3,1.0,Per Session,1,1,1
SURGICAL SERVICES PACKAGE,policy,N/A,Not specified,,Not specified,1,1,0
The Surgical Package covers the below list of surg...,policy,N/A,Level 2,,Not specified,2,1,0
Pre- operative admission and care.,policy,N/A,Level 2,,Not specified,2,1,0
"Minor, major and special ized surgical procedures ...",policy,N/A,Level 2,,Not specified,2,1,0
Administration of blood and blood products; deriva...,policy,N/A,Level 2,,Not specified,2,1,0
"components, artificial blood products, and biologi...",policy,N/A,Level 4,,Not specified,1,1,0
Management of intra operative complications and co...,policy,N/A,Level 4,,Not specified,1,1,0
All additional medical or surgical service require...,policy,N/A,Level 4,,Not specified,1,1,0
Post operative visits - follow-up visits during th...,policy,N/A,Level 4,,Not specified,1,1,0
Post - proce dure pain management.,policy,N/A,Level 4,,Not specified,1,1,0
Post - opera tive ward physio therapy.,policy,N/A,Level 4,,Not specified,1,1,0
Supplies - except for those identified as exclusio...,policy,N/A,Level 4,,Not specified,1,1,0
Miscellaneous services - items such as dressing ch...,policy,N/A,Level 4,,Not specified,1,1,0
Critical care services related to the surgical pro...,policy,N/A,Level 4,,Not specified,1,1,0
"Diagnostic tests and procedure, including diagnost...",policy,N/A,Not specified,,Not specified,1,1,0
Immunosuppressive therapy for organ transplants.,policy,N/A,Not specified,,Not specified,1,1,0
ONCOLOGY SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
Oncology services shall entail screening and treat...,policy,N/A,Level 4,5.0,Per Session,2,1,0
"Administration of Chemo therapy, Radio therapy, Br...",policy,N/A,Level 4,5.0,Per Session,1,1,0
"Consumables, stoma appliances, premeds, and post m...",policy,N/A,Level 4,5.0,Per Session,1,1,0
Chemo therapy pump,policy,N/A,Level 4,5.0,Per Session,1,1,0
Routine and special ized laboratory inve sti gatio...,policy,N/A,Level 4,5.0,Per Session,1,1,0
"Screening, cross-matching and administration of bl...",policy,N/A,Level 4,5.0,Per Session,1,1,0
Treatment plan ning,policy,N/A,Level 4,5.0,Per Session,1,1,0
Radioiodine therapy,policy,N/A,Level 4,5.0,Per Session,1,1,0
Radiological services where necessary as part of o...,policy,N/A,Level 4,5.0,Per Session,1,1,0
Management through surgical interventions,policy,N/A,Level 4,5.0,Per Session,1,1,0
Management of pre- cancer conditions,policy,N/A,Not specified,,Not specified,1,1,0
MEDICAL IMAGING AND OTHER INVE STI GATIONS PACKAGE,policy,N/A,Not specified,,Not specified,1,1,0
Covers Prescribed special ized imaging services in...,policy,N/A,Level 2,11.0,Not specified,3,1,0
MRI,policy,N/A,Level 2,11.0,Not specified,3,1,0
CT scans,policy,N/A,Level 2,11.0,Not specified,3,1,0
CT Angio,policy,N/A,Level 2,11.0,Not specified,3,1,0
Fluoroscopy,policy,N/A,Level 2,11.0,Not specified,3,1,0
Mammography,policy,N/A,Level 2,11.0,Not specified,3,1,0
Special ized ultrasounds ( Dopplers ),policy,N/A,Level 2,11.0,Not specified,3,1,0
Echo cardiog rams ( ECHO ),policy,N/A,Level 2,11.0,Not specified,3,1,0
Electroencephalograms ( EEGs ) and,policy,N/A,Level 2,11.0,Not specified,3,1,0
Review ingandinte rpre ting radiological images gi...,policy,N/A,Level 2,11.0,Not specified,3,1,0
Unnamed Service,policy,N/A,Not specified,,Not specified,2,1,0
PHARMACY PACKAGE,policy,N/A,Not specified,,Not specified,1,1,0
Medicines for select chronic conditions:,policy,N/A,Not specified,,Not specified,1,1,0
"Diabetes type 1 & 2,",policy,N/A,Not specified,,Not specified,1,1,0
"Hypertension,",policy,N/A,Not specified,,Not specified,1,1,0
"Asthma,",policy,N/A,Not specified,,Not specified,1,1,0
Chronic renal disea seon dialysis,policy,N/A,Not specified,,Not specified,1,1,0
Post transplant immunosuppressants,policy,N/A,Not specified,,Not specified,1,1,0
"Chronic obstruc tive pulmonary disease,",policy,N/A,Not specified,,Not specified,1,1,0
Sickle cell,policy,N/A,Not specified,,Not specified,1,1,0
Oncology medicines,policy,N/A,Not specified,,Not specified,1,1,0
Anti-D,policy,N/A,Not specified,,Not specified,1,1,0
Anti Snake Venom,policy,N/A,Not specified,,Not specified,1,1,0
Anti Rabies,policy,N/A,Not specified,,Not specified,1,1,0
Mental Health long-ac ting medicines,policy,N/A,Not specified,,Not specified,1,1,0
Epilepsy,policy,N/A,Not specified,,Not specified,1,1,0
SPECIAL IZED LABORATORY SERVICE,policy,N/A,Not specified,,Not specified,1,1,0
Special ized testing as captured in the essential ...,policy,N/A,Not specified,,Not specified,1,1,0
"Diabetes type 1 & 2,",policy,N/A,Not specified,,Not specified,1,1,0
"Hypertension,",policy,N/A,Not specified,,Not specified,1,1,0
Asthma,policy,N/A,Not specified,,Not specified,1,1,0
Chronic renal disea seon dialysis,policy,N/A,Not specified,,Not specified,1,1,0
Post transplant immunosuppression,policy,N/A,Not specified,,Not specified,1,1,0
Chronic obstruc tive pulmonary disease,policy,N/A,Not specified,,Not specified,1,1,0
Sickle cell,policy,N/A,Not specified,,Not specified,1,1,0
Oncology medicines,policy,N/A,Not specified,,Not specified,1,1,0
Anti-D,policy,N/A,Not specified,,Not specified,1,1,0
Anti Snake Venom,policy,N/A,Not specified,,Not specified,1,1,0
Anti Rabies,policy,N/A,Not specified,,Not specified,1,1,0
Mental Health long-ac ting medicines,policy,N/A,Not specified,,Not specified,1,1,0
Epilepsy,policy,N/A,Not specified,,Not specified,1,1,0
END OF LIFE SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
Preparation and storage of the body in mortuary,policy,N/A,Level 4,500.0,Not specified,1,1,0
Unnamed Service,policy,N/A,Not specified,,Not specified,1,1,0
AMBULANCE EVACUATION SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
Evacuation from the pointof the incident to the ne...,policy,N/A,Not specified,4.0,Not specified,1,1,0
ACCIDENT & EMERGENCY SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
This cover includes resuscitation and stabilizatio...,policy,N/A,Level 2,5015.0,Not specified,1,1,0
Cardiac and pulmonary arrest,policy,N/A,Level 2,5015.0,Not specified,1,1,0
"Major trauma ( severe burns, head injuries, severe...",policy,N/A,Level 2,5015.0,Not specified,1,1,0
"Shockstates ( Haemorrhagic, septic, dehydration )",policy,N/A,Level 2,5015.0,Not specified,1,1,0
"Alteredlevelof consciousness ( unconsciousness, co...",policy,N/A,Level 2,5015.0,Not specified,1,1,0
Seizures,policy,N/A,Level 2,5015.0,Not specified,1,1,0
Chest pain ( Acute Coro nary Syndrome / Pulmonary ...,policy,N/A,Not specified,,Not specified,1,1,0
Anti Snake Venom & Anti Rabies,policy,N/A,Not specified,,Not specified,1,1,0
Unnamed Service,policy,N/A,Not specified,3.0,Not specified,1,1,0
CRITICAL ILLNESS PACKAGE,policy,N/A,Not specified,,Not specified,1,1,0
This will cater for Critical care admission sinI n...,policy,N/A,Level 4,35.0,Not specified,1,1,0
PALLIATIVE CARE SERVICES,policy,N/A,Not specified,,Not specified,1,1,0
This benefit aims at enhancing the quality of life...,policy,N/A,Level 4,5.0,Not specified,1,1,0
CHRONIC ILLNESSES,policy,N/A,Not specified,,Not specified,1,1,0
Longitudinalmanagementof chronic condition sand di...,policy,N/A,Level 4,,Not specified,1,1,0
Management of cancers beyond the SHIF limit,policy,N/A,Level 4,,Not specified,1,1,0
"Mana geme ntof mental, neur odev elop mental, affe...",policy,N/A,Level 4,,Not specified,1,1,0
psychoactive disorders and substance addictive dis...,policy,N/A,Not specified,,Not specified,1,1,0
Selected special ized surgeries,policy,N/A,Not specified,,Not specified,1,1,0
ASSISTIVE DEVICES,policy,N/A,Not specified,,Not specified,1,1,0
Provision of assistive devices to support patients...,policy,N/A,Level 4,55.0,Not specified,3,1,0
Aortic Valvuloplasty,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),620000.0,fee-for-service,1,1,2
ASD percutaneous device closure,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),414400.0,fee-for-service,1,1,2
Atrial Septostomy,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),201600.0,fee-for-service,1,1,3
Cardiac Resynchronization Therapy Defibrillator (C...,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),504000.0,fee-for-service,1,1,2
Cardiac Resynchronization Therapy Pacemaker (CRT-P...,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),537600.0,fee-for-service,1,1,2
Coronary angiography (diagnostic),annex_procedure,Cardiology,Level 4+ (County Hospital or higher),78400.0,fee-for-service,1,1,2
Coronary Angioplasty (with single or Multiple Sten...,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),537600.0,fee-for-service,1,1,2
Diagnostic catheterization,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),78400.0,fee-for-service,1,1,2
Dual Chamber pacemaker insertion (permanent),annex_procedure,Cardiology,Level 4+ (County Hospital or higher),280000.0,fee-for-service,1,1,2
Implantable Converter Defibrillator (ICD) Dual cha...,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),504000.0,fee-for-service,1,1,2
 chamber insertion,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),504000.0,fee-for-service,1,1,2
Intra- Aortic Balloon Pump,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),168000.0,fee-for-service,1,1,2
IVC Filter insertion,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),168000.0,fee-for-service,1,1,2
Loop recorder - reveal link,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),537600.0,fee-for-service,1,1,2
Loop recorder-reveal xt,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),358400.0,fee-for-service,1,1,2
Mitral Valvoplasty,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),392000.0,fee-for-service,1,1,2
PDA percutaneous device closure,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),414400.0,fee-for-service,1,1,2
Peripheral Angiography,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),56000.0,fee-for-service,1,1,2
Peripheral Angioplasty,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),280000.0,fee-for-service,1,1,2
Pulmonary artery catheterization,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),78400.0,fee-for-service,1,1,2
Pulmonary Valvoplasty,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),448000.0,fee-for-service,1,1,2
Renal artery stenting,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),280000.0,fee-for-service,1,1,2
Retrival of Foreign bodies,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),145600.0,fee-for-service,1,1,2
Right and Left Catheterization,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),145600.0,fee-for-service,1,1,2
Single Chamber pacemaker insertion (permanent),annex_procedure,Cardiology,Level 4+ (County Hospital or higher),224000.0,fee-for-service,1,1,2
Single pacemaker insertion (temporary),annex_procedure,Cardiology,Level 4+ (County Hospital or higher),44800.0,fee-for-service,1,1,2
Thoracic endovascular aortic repair (TEVAR),annex_procedure,Cardiology,Level 4+ (County Hospital or higher),504000.0,fee-for-service,1,1,2
VSD percutanoeus device closure,annex_procedure,Cardiology,Level 4+ (County Hospital or higher),414400.0,fee-for-service,1,1,2
Abdominal Aortic Aneurym Repair (Open),annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),392000.0,fee-for-service,1,1,2
Achalasia cardia/Diverticulum,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),280000.0,fee-for-service,1,1,2
Anterior Chest Wall Mass Excision and Reconstructi...,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),599200.0,fee-for-service,1,1,2
Anterior Mediastinal Mass Resection,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),599200.0,fee-for-service,1,1,2
Aortic Valve Replacement (AVR),annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1064000.0,fee-for-service,1,1,2
Arteriovenous Malformation Resection,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),386400.0,fee-for-service,1,1,2
Atrial Septal Defect Closure,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),784000.0,fee-for-service,1,1,3
AV Fistula Take down,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),33600.0,fee-for-service,1,1,2
Bentall's Procedure,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1358000.0,fee-for-service,1,1,2
Bidirectional Glenn Shunt,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),954800.0,fee-for-service,1,1,2
Blalock Taussig (BT) Shunt,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),688800.0,fee-for-service,1,1,2
Bronchopleural fistula repair,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),562800.0,fee-for-service,1,1,2
Bronchoscopy and removal of FB,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),78400.0,fee-for-service,1,1,2
CABG + Double Valve Replacement,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1442000.0,fee-for-service,1,1,2
CABG + MWR/AVR,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1220800.0,fee-for-service,1,1,2
Carotid Artery Endarterectomy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),145600.0,fee-for-service,1,1,2
Carotid Body Tumour Excision,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),246400.0,fee-for-service,1,1,2
Carotid Body Tumour Redo Surgery,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),646800.0,fee-for-service,1,3,2
Closed valvotomy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),192000.0,fee-for-service,1,1,2
Coarctation of Aorta repair with graft,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),280000.0,fee-for-service,1,1,2
Coarctation of Aorta repair without graft,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),280000.0,fee-for-service,1,1,2
Complete Atrioventricular Canal Defect Repair,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1024800.0,fee-for-service,1,1,2
Complex repair for congenital heart disease,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1248800.0,fee-for-service,1,2,2
Congenital AV fistula malformation Resection,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),201600.0,fee-for-service,1,1,2
Conventional Elephant Trunk (CET) Procedure,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1302000.0,fee-for-service,1,1,2
Coronary artery Bypass Grafting (CABG),annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),868000.0,fee-for-service,1,1,2
Cox Maze IV Procedure,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),513000.0,fee-for-service,1,1,2
Diaphragmatic Hernia Repair,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),224000.0,fee-for-service,1,1,2
Dissected Aortic Aneurysm Repair (Open),annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),392000.0,fee-for-service,1,1,2
Double Valve Replacement,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1248800.0,fee-for-service,1,1,2
Endovascular Aneurysm Repair (EVAR),annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1626800.0,fee-for-service,1,1,2
Esophagostomy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),470400.0,fee-for-service,1,1,2
ESRD AV Fistula Creation,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),78400.0,fee-for-service,1,1,2
ESRD AV Graft Surgery,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),168000.0,fee-for-service,1,3,2
Excision of Mediastinal Tumour,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),280000.0,fee-for-service,1,1,2
Fontan procedure,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),954800.0,fee-for-service,1,1,2
Frozen Elephant Trunk (FET) Procedure,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1411200.0,fee-for-service,1,1,2
Gastrostomy/Jejunostomy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),89600.0,fee-for-service,1,1,2
Heller's myotomy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),386400.0,fee-for-service,1,1,2
Insertion of MB tube,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),44800.0,fee-for-service,1,1,2
Lung decortication,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),224000.0,fee-for-service,1,1,2
Mitral Valve Replacement (MVR),annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),1064000.0,fee-for-service,1,1,2
Mitral Valvotomy / Balloon,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),224000.0,fee-for-service,1,1,2
Myocardial Biopsy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),44800.0,fee-for-service,1,1,2
Oesophageal perforation Repair,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),554400.0,fee-for-service,1,1,2
Oesophagectomy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),747600.0,fee-for-service,1,1,2
Open Lobectomy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),590800.0,fee-for-service,1,1,2
Open Lung Biopsy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),350000.0,fee-for-service,1,1,2
Open Patent Ductus Arteriosus (PDA) surgery,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),313600.0,fee-for-service,1,3,2
Open Pneumonectomy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),280000.0,fee-for-service,1,1,2
Open Removal of Esophageal Foreign Body,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),554400.0,fee-for-service,1,1,2
Open Removal of Tracheal/Bronchial Foreign Body,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),554400.0,fee-for-service,1,1,2
Other aneurysms repair,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),392000.0,fee-for-service,1,1,2
Pacemaker Change of battery,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),134400.0,fee-for-service,1,1,2
Partial Atrioventricular Canal Defect Repair,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),784000.0,fee-for-service,1,1,2
Pericardial Catheterization,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),89600.0,fee-for-service,1,1,2
Pericardial Window,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),89600.0,fee-for-service,1,1,2
Pericardiectomy,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),554400.0,fee-for-service,1,1,2
Pericardiocentesis,annex_procedure,Cardiothoracic and Vascular,Level 5-6 (Specialized Hospital),56000.0,fee-for-service,1,1,2
